RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_return,RMSE_return,MAPE_return,MAE_first_chamber_filling,RMSE_first_chamber_filling,MAPE_first_chamber_filling,MAE_second_chamber_filling,RMSE_second_chamber_filling,MAPE_second_chamber_filling,MAE_gran1_blain,RMSE_gran1_blain,MAPE_gran1_blain
all_targets,2,2,NaiveLastValue,5.5685945,5.993977,1.2759547,3.0693145,3.3175652,3.3753145,0.48103252,0.5186568,0.6064638,0.4088787,0.44043845,0.68182945,18.315159,19.699247,0.44020745
all_targets,2,2,LinearRegression,6.387507,6.884944,0.5968958,0.13899909,0.14927849,0.16144823,0.7008751,0.7485863,0.87981,0.4682977,0.50580984,0.75181216,24.241867,26.136093,0.5945151
all_targets,2,2,Chronos2,5.792523,6.217989,1.2749809,2.97906,3.2268224,3.280138,0.5101469,0.547148,0.6432013,0.42765763,0.45975125,0.7124308,19.253222,20.638252,0.46415114
all_targets,2,2,NeuralForecast_BiTCN,15.920056,16.285212,2.3364608,4.8326993,5.057987,5.0037017,1.0745258,1.106741,1.2884291,1.0365069,1.061719,1.6080619,56.736492,57.9144,1.4456583
all_targets,2,2,NeuralForecast_TSMixer,5.404642,5.830102,1.2165878,2.8934655,3.158884,3.1885228,0.4603981,0.50080186,0.58052295,0.400975,0.43270847,0.6688839,17.86373,19.228027,0.4284237
all_targets,2,2,NeuralForecast_Nhits,6.2490964,6.903231,1.2853684,3.0232773,3.2796543,3.2984881,0.47678298,0.5151487,0.6001604,0.44716874,0.48841384,0.7355881,21.049137,23.32971,0.5072361
all_targets,2,2,NeuralForecast_XLinear,5.352191,5.7846594,1.258456,3.064923,3.317385,3.37431,0.46147624,0.5011253,0.58316696,0.3924699,0.42579994,0.6556379,17.489904,18.89432,0.4207127
all_targets,2,2,NeuralForecast_TFT,7.894423,8.311297,1.5332044,3.252699,3.477496,3.5174785,0.6165745,0.6508316,0.75807333,0.77255785,0.8024773,1.2034374,26.93587,28.314379,0.6538235
all_targets,2,4,NaiveLastValue,7.821426,8.766336,1.6578298,3.9029443,4.396313,4.2168794,0.663824,0.7533008,0.8342585,0.57149786,0.63734907,0.9496055,26.1474,29.278366,0.63057446
all_targets,2,4,LinearRegression,10.068135,11.323363,0.87141347,0.14898396,0.17513125,0.157377,1.0540198,1.1647711,1.3147678,0.6734525,0.75859517,1.067385,38.396107,43.19495,0.9461249
all_targets,2,4,Chronos2,7.988474,8.921684,1.642602,3.7782218,4.25982,4.088296,0.6826556,0.77225536,0.85867244,0.5864089,0.65338993,0.97447056,26.906559,30.001299,0.6489666
all_targets,2,4,NeuralForecast_BiTCN,16.086552,16.908827,2.780098,6.2554398,6.677769,6.256519,1.2514999,1.3260608,1.4965118,1.2486917,1.3097457,2.013708,55.59065,58.321747,1.3536512
all_targets,2,4,NeuralForecast_TSMixer,7.736694,8.674318,1.6031317,3.709086,4.202047,4.0633492,0.63415104,0.72334117,0.79888237,0.55607057,0.6216499,0.9223488,26.047472,29.150244,0.62794787
all_targets,2,4,NeuralForecast_Nhits,9.415813,10.512348,1.696875,3.8257527,4.3179193,4.148788,0.6483738,0.73478884,0.8151877,0.64007413,0.71307546,1.0441368,32.549053,36.283535,0.7793791
all_targets,2,4,NeuralForecast_XLinear,7.6748643,8.628605,1.6455345,3.906062,4.4013624,4.222151,0.6475957,0.7386213,0.81607556,0.5569649,0.62418884,0.92700726,25.588829,28.750298,0.61690414
all_targets,2,4,NeuralForecast_TFT,9.19122,10.083891,1.8563086,3.9441938,4.381461,4.220433,0.83449274,0.9150311,1.0212808,0.9137701,0.9706507,1.4376644,31.072428,34.06843,0.7458601
all_targets,2,6,NaiveLastValue,9.498532,10.827387,1.9943373,4.7106996,5.3768096,5.0119267,0.81364363,0.9426407,1.0190877,0.70847887,0.8016612,1.1756299,31.761324,36.188465,0.7707044
all_targets,2,6,LinearRegression,13.072487,14.833902,1.1169832,0.204315,0.23770845,0.2118491,1.339398,1.4877726,1.6587571,0.86751467,0.9969609,1.3634611,49.878788,56.61321,1.2338672
all_targets,2,6,Chronos2,9.608775,10.926832,1.9682008,4.5478,5.1943827,4.8405223,0.831445,0.9622555,1.0430994,0.72553897,0.82011116,1.2046096,32.330353,36.730576,0.7845715
all_targets,2,6,NeuralForecast_BiTCN,21.306528,22.984077,3.3092053,7.255804,7.886299,7.337277,1.4506462,1.5592753,1.7559022,1.4310776,1.5510412,2.3074477,75.08854,80.93969,1.8361951
all_targets,2,6,NeuralForecast_TSMixer,9.473086,10.794483,1.9467864,4.5037675,5.162685,4.843117,0.7949037,0.92514294,0.99736977,0.7057082,0.796306,1.1710837,31.887943,36.293797,0.77557474
all_targets,2,6,NeuralForecast_Nhits,10.711825,12.003483,2.0029628,4.5316215,5.200487,4.8592143,0.8091308,0.9401264,1.0126446,0.7649136,0.8618626,1.2470624,36.741592,41.011482,0.8929298
all_targets,2,6,NeuralForecast_XLinear,9.484435,10.829611,1.9909468,4.7170634,5.3883305,5.017396,0.8048188,0.9347102,1.0103707,0.7030602,0.7973457,1.1664029,31.712767,36.198055,0.7696127
all_targets,2,6,NeuralForecast_TFT,15.571232,16.725317,2.47995,5.206624,5.7278476,5.7296157,0.976713,1.0944719,1.2110509,0.99390084,1.0750988,1.6254234,55.107693,59.003777,1.3537105
all_targets,4,2,NaiveLastValue,5.5685945,5.993977,1.2759547,3.0693145,3.3175652,3.3753145,0.48103252,0.5186568,0.6064638,0.4088787,0.44043845,0.68182945,18.315159,19.699247,0.44020745
all_targets,4,2,LinearRegression,6.2160892,6.628114,0.5633943,0.2004159,0.21194622,0.2200791,0.5977206,0.6419499,0.75421315,0.44474,0.48298034,0.71571594,23.621475,25.175571,0.5635705
all_targets,4,2,Chronos2,5.9586415,6.3937645,1.2673893,2.9290855,3.1658568,3.184407,0.52969414,0.56802493,0.66735286,0.44426715,0.47751206,0.73804486,19.931547,21.363678,0.4797478
all_targets,4,2,NeuralForecast_BiTCN,16.202206,16.491224,2.4902244,5.3260155,5.539368,5.709558,0.9388961,0.9707151,1.1524523,1.0749853,1.098617,1.716378,57.468853,58.35616,1.3825073
