RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_first_chamber_filling,RMSE_first_chamber_filling
simple_first_chamber_filling,2,1,NaiveLastValue,0.8430764,0.8430764,0.8430764,0.8430764
simple_first_chamber_filling,2,1,LinearRegression,0.8181542,0.8181542,0.8181542,0.8181542
simple_first_chamber_filling,2,1,Chronos2,1.0729498,1.0729498,1.0729498,1.0729498
simple_first_chamber_filling,2,1,NeuralForecast_BiTCN,1.024693,1.024693,1.024693,1.024693
simple_first_chamber_filling,2,1,NeuralForecast_TSMixer,0.7956627,0.7956627,0.7956627,0.7956627
simple_first_chamber_filling,2,1,NeuralForecast_Nhits,0.8775388,0.8775388,0.8775388,0.8775388
simple_first_chamber_filling,2,1,NeuralForecast_XLinear,0.79298365,0.79298365,0.79298365,0.79298365
simple_first_chamber_filling,2,1,NeuralForecast_TFT,0.94291425,0.94291425,0.94291425,0.94291425
simple_first_chamber_filling,2,2,NaiveLastValue,1.1122011,1.2022029,1.1122011,1.2022029
simple_first_chamber_filling,2,2,LinearRegression,1.1303656,1.2233229,1.1303656,1.2233229
simple_first_chamber_filling,2,2,Chronos2,1.3866215,1.5083406,1.3866215,1.5083406
simple_first_chamber_filling,2,2,NeuralForecast_BiTCN,1.28286,1.3703663,1.28286,1.3703663
simple_first_chamber_filling,2,2,NeuralForecast_TSMixer,1.0679623,1.1602092,1.0679623,1.1602092
simple_first_chamber_filling,2,2,NeuralForecast_Nhits,1.1277514,1.2177579,1.1277514,1.2177579
simple_first_chamber_filling,2,2,NeuralForecast_XLinear,1.0590017,1.1483856,1.0590017,1.1483856
simple_first_chamber_filling,2,2,NeuralForecast_TFT,1.3540546,1.4448941,1.3540546,1.4448941
simple_first_chamber_filling,2,3,NaiveLastValue,1.3671467,1.5292658,1.3671467,1.5292658
simple_first_chamber_filling,2,3,LinearRegression,1.4451377,1.6189117,1.4451377,1.6189117
simple_first_chamber_filling,2,3,Chronos2,1.7304326,1.9381834,1.7304326,1.9381834
