RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_gran1_blain,RMSE_gran1_blain
simple_gran1_blain,2,1,NaiveLastValue,24.410204,24.410204,24.410204,24.410204
simple_gran1_blain,2,1,LinearRegression,19.107952,19.107952,19.107952,19.107952
simple_gran1_blain,2,1,Chronos2,32.02023,32.02023,32.02023,32.02023
simple_gran1_blain,2,1,NeuralForecast_BiTCN,39.4982,39.4982,39.4982,39.4982
simple_gran1_blain,2,1,NeuralForecast_TSMixer,19.623264,19.623264,19.623264,19.623264
simple_gran1_blain,2,1,NeuralForecast_Nhits,24.556738,24.556738,24.556738,24.556738
simple_gran1_blain,2,1,NeuralForecast_XLinear,19.848648,19.848648,19.848648,19.848648
simple_gran1_blain,2,1,NeuralForecast_TFT,47.519714,47.519714,47.519714,47.519714
simple_gran1_blain,2,2,NaiveLastValue,35.78657,38.1155,35.78657,38.1155
simple_gran1_blain,2,2,LinearRegression,31.174337,33.87903,31.174337,33.87903
simple_gran1_blain,2,2,Chronos2,42.793118,45.06463,42.793118,45.06463
simple_gran1_blain,2,2,NeuralForecast_BiTCN,50.58978,53.223133,50.58978,53.223133
simple_gran1_blain,2,2,NeuralForecast_TSMixer,31.473677,34.132465,31.473677,34.132465
simple_gran1_blain,2,2,NeuralForecast_Nhits,35.83942,38.08038,35.83942,38.08038
simple_gran1_blain,2,2,NeuralForecast_XLinear,32.214405,34.87274,32.214405,34.87274
simple_gran1_blain,2,2,NeuralForecast_TFT,46.18589,48.15981,46.18589,48.15981
simple_gran1_blain,2,3,NaiveLastValue,44.380863,48.406128,44.380863,48.406128
simple_gran1_blain,2,3,LinearRegression,40.69565,45.1474,40.69565,45.1474
simple_gran1_blain,2,3,Chronos2,52.415253,56.40634,52.415253,56.40634
simple_gran1_blain,2,3,NeuralForecast_BiTCN,57.95678,62.194588,57.95678,62.194588
simple_gran1_blain,2,3,NeuralForecast_TSMixer,42.361977,46.699184,42.361977,46.699184
simple_gran1_blain,2,3,NeuralForecast_Nhits,44.304638,48.22057,44.304638,48.22057
simple_gran1_blain,2,3,NeuralForecast_XLinear,41.577106,46.462135,41.577106,46.462135
simple_gran1_blain,2,3,NeuralForecast_TFT,51.19108,54.963295,51.19108,54.963295
simple_gran1_blain,4,1,NaiveLastValue,24.410204,24.410204,24.410204,24.410204
simple_gran1_blain,4,1,LinearRegression,19.034101,19.034101,19.034101,19.034101
simple_gran1_blain,4,1,Chronos2,26.0916,26.0916,26.0916,26.0916
simple_gran1_blain,4,1,NeuralForecast_BiTCN,52.31459,52.31459,52.31459,52.31459
simple_gran1_blain,4,1,NeuralForecast_TSMixer,24.178303,24.178303,24.178303,24.178303
simple_gran1_blain,4,1,NeuralForecast_Nhits,24.1957,24.1957,24.1957,24.1957
simple_gran1_blain,4,1,NeuralForecast_XLinear,16.956408,16.956408,16.956408,16.956408
simple_gran1_blain,4,1,NeuralForecast_TFT,41.185566,41.185566,41.185566,41.185566
simple_gran1_blain,4,2,NaiveLastValue,35.78657,38.1155,35.78657,38.1155
simple_gran1_blain,4,2,LinearRegression,32.582428,35.576656,32.582428,35.576656
simple_gran1_blain,4,2,Chronos2,36.65861,38.759083,36.65861,38.759083
simple_gran1_blain,4,2,NeuralForecast_BiTCN,57.24024,59.380764,57.24024,59.380764
simple_gran1_blain,4,2,NeuralForecast_TSMixer,30.111715,32.91615,30.111715,32.91615
simple_gran1_blain,4,2,NeuralForecast_Nhits,36.01415,38.37055,36.01415,38.37055
simple_gran1_blain,4,2,NeuralForecast_XLinear,30.31446,33.41826,30.31446,33.41826
simple_gran1_blain,4,2,NeuralForecast_TFT,55.54794,57.48622,55.54794,57.48622
simple_gran1_blain,4,3,NaiveLastValue,44.380863,48.406128,44.380863,48.406128
simple_gran1_blain,4,3,LinearRegression,43.034203,47.669445,43.034203,47.669445
simple_gran1_blain,4,3,Chronos2,44.565784,48.479374,44.565784,48.479374
simple_gran1_blain,4,3,NeuralForecast_BiTCN,61.041946,64.55991,61.041946,64.55991
