RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAPE,MAE_return,RMSE_return,MAPE_return,MAE_first_chamber_filling,RMSE_first_chamber_filling,MAPE_first_chamber_filling,MAE_second_chamber_filling,RMSE_second_chamber_filling,MAPE_second_chamber_filling,MAE_gran1_blain,RMSE_gran1_blain,MAPE_gran1_blain
simple_model,2,2,NaiveLastValue,5.5685945,5.993977,1.2759547,3.0693145,3.3175652,3.3753145,0.48103252,0.5186568,0.6064638,0.4088787,0.44043845,0.68182945,18.315159,19.699247,0.44020745
simple_model,2,2,LinearRegression,5.2434115,5.6603656,1.210302,2.86224,3.1065881,3.1431468,0.47804227,0.5197005,0.6029684,0.41038364,0.44451565,0.6800511,17.223,18.570658,0.41504085
simple_model,2,2,Chronos2,7.038058,7.5891333,1.6579989,4.02414,4.3711267,4.478332,0.59632504,0.6441423,0.75432867,0.5047875,0.5481284,0.84552485,23.026976,24.793137,0.5538131
simple_model,2,2,NeuralForecast_BiTCN,16.897058,17.231531,2.2829142,4.652299,4.8850183,5.1768727,0.9166327,0.94962054,1.1014684,0.7984426,0.8252803,1.3259664,61.22079,62.26621,1.527352
simple_model,2,2,NeuralForecast_TSMixer,5.8854527,6.3355136,1.2718436,3.0166216,3.2656982,3.325546,0.48652998,0.5274744,0.61216754,0.4080431,0.4409354,0.68010455,19.630629,21.107971,0.46955022
simple_model,2,2,NeuralForecast_Nhits,5.640345,6.0625734,1.2759597,3.0552738,3.304847,3.3628027,0.48228127,0.52014613,0.60776335,0.4108861,0.44271058,0.6854424,18.612919,19.98263,0.44783205
simple_model,2,2,NeuralForecast_XLinear,5.364055,5.793024,1.2626373,3.0709834,3.3217168,3.3816884,0.46268192,0.5026173,0.5845677,0.3967748,0.42946285,0.6630782,17.525793,18.918272,0.42121467
simple_model,2,2,NeuralForecast_TFT,8.510361,8.966974,1.5003711,3.3217852,3.5677145,3.6143312,0.58891135,0.62389594,0.7366298,0.56890774,0.5967812,0.9252449,29.561846,31.079456,0.7252789
simple_model,2,4,NaiveLastValue,7.821426,8.766336,1.6578298,3.9029443,4.396313,4.2168794,0.663824,0.7533008,0.8342585,0.57149786,0.63734907,0.9496055,26.1474,29.278366,0.63057446
simple_model,2,4,LinearRegression,7.51284,8.447176,1.5816752,3.6187518,4.0759034,3.933745,0.67834836,0.7723005,0.85506785,0.5612946,0.629151,0.9272979,25.192974,28.311344,0.610591
