RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_first_chamber_filling,RMSE_first_chamber_filling
target_first_chamber_filling,2,1,NaiveLastValue,0.8430764,0.8430764,0.8430764,0.8430764
target_first_chamber_filling,2,1,LinearRegression,0.8890204,0.8890204,0.8890204,0.8890204
target_first_chamber_filling,2,1,Chronos2,1.0125263,1.0125263,1.0125263,1.0125263
target_first_chamber_filling,2,1,NeuralForecast_BiTCN,1.3375565,1.3375565,1.3375565,1.3375565
target_first_chamber_filling,2,1,NeuralForecast_TSMixer,0.8078133,0.8078133,0.8078133,0.8078133
target_first_chamber_filling,2,1,NeuralForecast_Nhits,0.8164567,0.8164567,0.8164567,0.8164567
target_first_chamber_filling,2,1,NeuralForecast_XLinear,0.8369021,0.8369021,0.8369021,0.8369021
target_first_chamber_filling,2,1,NeuralForecast_TFT,1.0245129,1.0245129,1.0245129,1.0245129
target_first_chamber_filling,2,2,NaiveLastValue,1.1122011,1.2022029,1.1122011,1.2022029
target_first_chamber_filling,2,2,LinearRegression,1.2615956,1.3710153,1.2615956,1.3710153
target_first_chamber_filling,2,2,Chronos2,1.2689487,1.3724693,1.2689487,1.3724693
target_first_chamber_filling,2,2,NeuralForecast_BiTCN,1.6678687,1.7574399,1.6678687,1.7574399
target_first_chamber_filling,2,2,NeuralForecast_TSMixer,1.0521408,1.1422919,1.0521408,1.1422919
target_first_chamber_filling,2,2,NeuralForecast_Nhits,1.0362105,1.1339692,1.0362105,1.1339692
target_first_chamber_filling,2,2,NeuralForecast_XLinear,1.0631828,1.1514903,1.0631828,1.1514903
target_first_chamber_filling,2,2,NeuralForecast_TFT,1.4170781,1.5076854,1.4170781,1.5076854
target_first_chamber_filling,2,3,NaiveLastValue,1.3671467,1.5292658,1.3671467,1.5292658
target_first_chamber_filling,2,3,LinearRegression,1.5315617,1.7230364,1.5315617,1.7230364
target_first_chamber_filling,2,3,Chronos2,1.5479246,1.7336541,1.5479246,1.7336541
target_first_chamber_filling,2,3,NeuralForecast_BiTCN,1.889497,2.041313,1.889497,2.041313
target_first_chamber_filling,2,3,NeuralForecast_TSMixer,1.369459,1.5381545,1.369459,1.5381545
target_first_chamber_filling,2,3,NeuralForecast_Nhits,1.29361,1.4591123,1.29361,1.4591123
