RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_gran1_blain,RMSE_gran1_blain
target_gran1_blain,2,1,NaiveLastValue,24.410204,24.410204,24.410204,24.410204
target_gran1_blain,2,1,LinearRegression,17.700806,17.700806,17.700806,17.700806
target_gran1_blain,2,1,Chronos2,31.029129,31.029129,31.029129,31.029129
target_gran1_blain,2,1,NeuralForecast_BiTCN,42.302334,42.302334,42.302334,42.302334
target_gran1_blain,2,1,NeuralForecast_TSMixer,19.308453,19.308453,19.308453,19.308453
target_gran1_blain,2,1,NeuralForecast_Nhits,21.751698,21.751698,21.751698,21.751698
target_gran1_blain,2,1,NeuralForecast_XLinear,19.486025,19.486025,19.486025,19.486025
target_gran1_blain,2,1,NeuralForecast_TFT,64.33685,64.33685,64.33685,64.33685
target_gran1_blain,2,2,NaiveLastValue,35.78657,38.1155,35.78657,38.1155
target_gran1_blain,2,2,LinearRegression,26.54613,28.758886,26.54613,28.758886
target_gran1_blain,2,2,Chronos2,40.282467,42.945152,40.282467,42.945152
target_gran1_blain,2,2,NeuralForecast_BiTCN,56.184704,58.841995,56.184704,58.841995
target_gran1_blain,2,2,NeuralForecast_TSMixer,30.648476,33.29189,30.648476,33.29189
target_gran1_blain,2,2,NeuralForecast_Nhits,31.034306,33.417595,31.034306,33.417595
target_gran1_blain,2,2,NeuralForecast_XLinear,31.916569,34.64519,31.916569,34.64519
target_gran1_blain,2,2,NeuralForecast_TFT,41.159737,43.528233,41.159737,43.528233
target_gran1_blain,2,3,NaiveLastValue,44.380863,48.406128,44.380863,48.406128
target_gran1_blain,2,3,LinearRegression,31.997295,35.592854,31.997295,35.592854
target_gran1_blain,2,3,Chronos2,48.490288,52.760212,48.490288,52.760212
target_gran1_blain,2,3,NeuralForecast_BiTCN,54.27293,58.484547,54.27293,58.484547
target_gran1_blain,2,3,NeuralForecast_TSMixer,41.628117,46.153316,41.628117,46.153316
target_gran1_blain,2,3,NeuralForecast_Nhits,38.773716,42.457264,38.773716,42.457264
target_gran1_blain,2,3,NeuralForecast_XLinear,41.425217,46.18877,41.425217,46.18877
target_gran1_blain,2,3,NeuralForecast_TFT,50.63427,54.495625,50.63427,54.495625
target_gran1_blain,4,1,NaiveLastValue,24.410204,24.410204,24.410204,24.410204
target_gran1_blain,4,1,LinearRegression,14.826808,14.826808,14.826808,14.826808
target_gran1_blain,4,1,Chronos2,28.431133,28.431133,28.431133,28.431133
target_gran1_blain,4,1,NeuralForecast_BiTCN,42.776928,42.776928,42.776928,42.776928
target_gran1_blain,4,1,NeuralForecast_TSMixer,24.668077,24.668077,24.668077,24.668077
target_gran1_blain,4,1,NeuralForecast_Nhits,20.375174,20.375174,20.375174,20.375174
target_gran1_blain,4,1,NeuralForecast_XLinear,16.474874,16.474874,16.474874,16.474874
target_gran1_blain,4,1,NeuralForecast_TFT,76.01914,76.01914,76.01914,76.01914
target_gran1_blain,4,2,NaiveLastValue,35.78657,38.1155,35.78657,38.1155
target_gran1_blain,4,2,LinearRegression,24.77537,27.04893,24.77537,27.04893
target_gran1_blain,4,2,Chronos2,39.05087,41.404205,39.05087,41.404205
