RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_return,RMSE_return
target_return,2,1,NaiveLastValue,4.791285,4.791285,4.791285,4.791285
target_return,2,1,LinearRegression,3.7265582,3.7265582,3.7265582,3.7265582
target_return,2,1,Chronos2,5.3639407,5.3639407,5.3639407,5.3639407
target_return,2,1,NeuralForecast_BiTCN,4.86411,4.86411,4.86411,4.86411
target_return,2,1,NeuralForecast_TSMixer,4.2953606,4.2953606,4.2953606,4.2953606
target_return,2,1,NeuralForecast_Nhits,4.888594,4.888594,4.888594,4.888594
target_return,2,1,NeuralForecast_XLinear,4.2776985,4.2776985,4.2776985,4.2776985
target_return,2,1,NeuralForecast_TFT,4.18169,4.18169,4.18169,4.18169
target_return,2,2,NaiveLastValue,6.0641184,6.5839553,6.0641184,6.5839553
target_return,2,2,LinearRegression,4.846189,5.333558,4.846189,5.333558
target_return,2,2,Chronos2,6.6281195,7.1861157,6.6281195,7.1861157
target_return,2,2,NeuralForecast_BiTCN,5.751842,6.2022943,5.751842,6.2022943
target_return,2,2,NeuralForecast_TSMixer,5.377253,5.862939,5.377253,5.862939
target_return,2,2,NeuralForecast_Nhits,5.661849,6.0572743,5.661849,6.0572743
target_return,2,2,NeuralForecast_XLinear,5.611474,6.1279497,5.611474,6.1279497
target_return,2,2,NeuralForecast_TFT,5.2917805,5.7527065,5.2917805,5.7527065
target_return,2,3,NaiveLastValue,7.369443,8.242696,7.369443,8.242696
target_return,2,3,LinearRegression,5.852504,6.62456,5.852504,6.62456
target_return,2,3,Chronos2,7.908767,8.8058195,7.908767,8.8058195
target_return,2,3,NeuralForecast_BiTCN,6.439114,7.1754417,6.439114,7.1754417
target_return,2,3,NeuralForecast_TSMixer,6.4284887,7.2154837,6.4284887,7.2154837
target_return,2,3,NeuralForecast_Nhits,5.787397,6.467164,5.787397,6.467164
target_return,2,3,NeuralForecast_XLinear,6.860368,7.731562,6.860368,7.731562
target_return,2,3,NeuralForecast_TFT,6.5383124,7.272927,6.5383124,7.272927
target_return,4,1,NaiveLastValue,4.791285,4.791285,4.791285,4.791285
target_return,4,1,LinearRegression,3.7580302,3.7580302,3.7580302,3.7580302
target_return,4,1,Chronos2,5.1296844,5.1296844,5.1296844,5.1296844
target_return,4,1,NeuralForecast_BiTCN,4.955024,4.955024,4.955024,4.955024
target_return,4,1,NeuralForecast_TSMixer,4.2806926,4.2806926,4.2806926,4.2806926
target_return,4,1,NeuralForecast_Nhits,3.850888,3.850888,3.850888,3.850888
target_return,4,1,NeuralForecast_XLinear,4.27031,4.27031,4.27031,4.27031
target_return,4,1,NeuralForecast_TFT,4.00495,4.00495,4.00495,4.00495
target_return,4,2,NaiveLastValue,6.0641184,6.5839553,6.0641184,6.5839553
target_return,4,2,LinearRegression,4.8161726,5.279747,4.8161726,5.279747
target_return,4,2,Chronos2,6.469274,7.0233955,6.469274,7.0233955
target_return,4,2,NeuralForecast_BiTCN,5.6674767,6.096831,5.6674767,6.096831
target_return,4,2,NeuralForecast_TSMixer,5.302986,5.7648244,5.302986,5.7648244
target_return,4,2,NeuralForecast_Nhits,5.20951,5.734326,5.20951,5.734326
target_return,4,2,NeuralForecast_XLinear,5.5469255,6.050834,5.5469255,6.050834
target_return,4,2,NeuralForecast_TFT,4.806932,5.2506676,4.806932,5.2506676
target_return,4,3,NaiveLastValue,7.369443,8.242696,7.369443,8.242696
target_return,4,3,LinearRegression,5.779587,6.5522785,5.779587,6.5522785
target_return,4,3,Chronos2,7.810885,8.725135,7.810885,8.725135
target_return,4,3,NeuralForecast_BiTCN,6.448713,7.1562085,6.448713,7.1562085
target_return,4,3,NeuralForecast_TSMixer,6.5941386,7.4566164,6.5941386,7.4566164
target_return,4,3,NeuralForecast_Nhits,5.8501363,6.6667843,5.8501363,6.6667843
target_return,4,3,NeuralForecast_XLinear,6.7678556,7.627925,6.7678556,7.627925
target_return,4,3,NeuralForecast_TFT,5.73448,6.4607306,5.73448,6.4607306
target_return,6,1,NaiveLastValue,4.791285,4.791285,4.791285,4.791285
target_return,6,1,LinearRegression,3.780277,3.780277,3.780277,3.780277
target_return,6,1,Chronos2,4.724621,4.724621,4.724621,4.724621
target_return,6,1,NeuralForecast_BiTCN,5.3063135,5.3063135,5.3063135,5.3063135
target_return,6,1,NeuralForecast_TSMixer,4.4139056,4.4139056,4.4139056,4.4139056
target_return,6,1,NeuralForecast_Nhits,4.4530725,4.4530725,4.4530725,4.4530725
target_return,6,1,NeuralForecast_XLinear,4.422419,4.422419,4.422419,4.422419
target_return,6,1,NeuralForecast_TFT,4.532801,4.532801,4.532801,4.532801
target_return,6,2,NaiveLastValue,6.0641184,6.5839553,6.0641184,6.5839553
