RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_second_chamber_filling,RMSE_second_chamber_filling
target_second_chamber_filling,2,1,NaiveLastValue,0.9274494,0.9274494,0.9274494,0.9274494
target_second_chamber_filling,2,1,LinearRegression,0.88441473,0.88441473,0.88441473,0.88441473
target_second_chamber_filling,2,1,Chronos2,1.1554991,1.1554991,1.1554991,1.1554991
target_second_chamber_filling,2,1,NeuralForecast_BiTCN,1.4265591,1.4265591,1.4265591,1.4265591
target_second_chamber_filling,2,1,NeuralForecast_TSMixer,0.7757276,0.7757276,0.7757276,0.7757276
target_second_chamber_filling,2,1,NeuralForecast_Nhits,0.87659293,0.87659293,0.87659293,0.87659293
target_second_chamber_filling,2,1,NeuralForecast_XLinear,0.7836286,0.7836286,0.7836286,0.7836286
target_second_chamber_filling,2,1,NeuralForecast_TFT,1.0676695,1.0676695,1.0676695,1.0676695
target_second_chamber_filling,2,2,NaiveLastValue,1.3097991,1.4141098,1.3097991,1.4141098
target_second_chamber_filling,2,2,LinearRegression,1.288981,1.4023656,1.288981,1.4023656
target_second_chamber_filling,2,2,Chronos2,1.4898773,1.6075586,1.4898773,1.6075586
target_second_chamber_filling,2,2,NeuralForecast_BiTCN,1.7193304,1.8186146,1.7193304,1.8186146
target_second_chamber_filling,2,2,NeuralForecast_TSMixer,1.1074768,1.213802,1.1074768,1.213802
target_second_chamber_filling,2,2,NeuralForecast_Nhits,1.8664495,2.0090213,1.8664495,2.0090213
target_second_chamber_filling,2,2,NeuralForecast_XLinear,1.118211,1.2260718,1.118211,1.2260718
target_second_chamber_filling,2,2,NeuralForecast_TFT,1.5071712,1.6136305,1.5071712,1.6136305
target_second_chamber_filling,2,3,NaiveLastValue,1.6822929,1.8783622,1.6822929,1.8783622
target_second_chamber_filling,2,3,LinearRegression,1.6742172,1.8834146,1.6742172,1.8834146
target_second_chamber_filling,2,3,Chronos2,1.8509719,2.0706995,1.8509719,2.0706995
target_second_chamber_filling,2,3,NeuralForecast_BiTCN,2.1129353,2.3026574,2.1129353,2.3026574
