RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_return,RMSE_return,MAE_first_chamber_filling,RMSE_first_chamber_filling,MAE_second_chamber_filling,RMSE_second_chamber_filling
all_targets,2,1,NaiveLastValue,2.1872702,2.1872702,4.791285,4.791285,0.8430764,0.8430764,0.9274494,0.9274494
all_targets,2,1,LinearRegression,1.784668,1.784668,3.688894,3.688894,0.8986814,0.8986814,0.76642245,0.76642245
all_targets,2,1,Chronos2,2.4551842,2.4551842,5.355606,5.355606,0.943275,0.943275,1.0666568,1.0666568
all_targets,2,1,NeuralForecast_BiTCN,2.8479164,2.8479164,5.804453,5.804453,1.1413667,1.1413667,1.5979364,1.5979364
all_targets,2,1,NeuralForecast_TSMixer,1.9712356,1.9712356,4.230851,4.230851,0.8891888,0.8891888,0.7936655,0.7936655
all_targets,2,1,NeuralForecast_Nhits,2.3199637,2.3199637,5.1151714,5.1151714,0.8066237,0.8066237,1.0380985,1.0380985
all_targets,2,1,NeuralForecast_XLinear,2.0531037,2.0531037,4.5141773,4.5141773,0.79969186,0.79969186,0.8454423,0.8454423
all_targets,2,1,NeuralForecast_TFT,2.1753237,2.1753237,4.660434,4.660434,0.89881694,0.89881694,0.96672094,0.96672094
all_targets,2,2,NaiveLastValue,2.8287034,3.0667527,6.0641184,6.5839553,1.1122011,1.2022029,1.3097991,1.4141098
all_targets,2,2,LinearRegression,2.3725262,2.6048162,4.781953,5.2736464,1.2358783,1.3407316,1.0997369,1.2000728
all_targets,2,2,Chronos2,3.0659919,3.3159325,6.5891895,7.13912,1.2043782,1.296567,1.4044131,1.5121152
all_targets,2,2,NeuralForecast_BiTCN,3.515622,3.7457254,7.0040894,7.5121055,1.4271418,1.5178715,2.115632,2.2072132
all_targets,2,2,NeuralForecast_TSMixer,2.6654446,2.9026604,5.639597,6.1450076,1.2778497,1.3755652,1.0788904,1.1874042
all_targets,2,2,NeuralForecast_Nhits,2.7452028,2.9724798,5.355151,5.8246727,1.1492391,1.2446244,1.7312192,1.8481474
all_targets,2,2,NeuralForecast_XLinear,2.6553965,2.8934667,5.721406,6.2386165,1.0596012,1.1499323,1.185181,1.2918569
all_targets,2,2,NeuralForecast_TFT,3.1423836,3.3858352,6.5269423,7.0566573,1.3010077,1.3900399,1.5991912,1.7108088
all_targets,2,3,NaiveLastValue,3.4729583,3.883443,7.369443,8.242696,1.3671467,1.5292658,1.6822929,1.8783622
all_targets,2,3,LinearRegression,2.9137125,3.2902827,5.7841,6.5530133,1.4953415,1.6745783,1.4616854,1.6432596
all_targets,2,3,Chronos2,3.6866121,4.107889,7.854731,8.748978,1.4528162,1.6194702,1.7522936,1.9552191
all_targets,2,3,NeuralForecast_BiTCN,4.119391,4.511661,8.249291,9.084984,1.6591264,1.8174812,2.4497488,2.6325226
all_targets,2,3,NeuralForecast_TSMixer,3.1166227,3.5236492,6.332649,7.1499,1.5582085,1.749828,1.4590132,1.6712248
all_targets,2,3,NeuralForecast_Nhits,3.8954067,4.3201466,8.341203,9.230231,1.3336475,1.4962611,2.0113678,2.233959
all_targets,2,3,NeuralForecast_XLinear,3.2963214,3.7100232,6.9864945,7.8648396,1.3182151,1.4811574,1.5842462,1.7840694
all_targets,2,3,NeuralForecast_TFT,4.6796856,5.089665,8.873159,9.746328,2.0507598,2.2105641,3.1151397,3.3121085
all_targets,4,1,NaiveLastValue,2.1872702,2.1872702,4.791285,4.791285,0.8430764,0.8430764,0.9274494,0.9274494
all_targets,4,1,LinearRegression,1.8028127,1.8028127,3.7481775,3.7481775,0.8838727,0.8838727,0.7763903,0.7763903
all_targets,4,1,Chronos2,2.4596064,2.4596064,5.236005,5.236005,1.0187415,1.0187415,1.124075,1.124075
all_targets,4,1,NeuralForecast_BiTCN,2.9192274,2.9192274,5.8439097,5.8439097,1.1740307,1.1740307,1.7397425,1.7397425
all_targets,4,1,NeuralForecast_TSMixer,2.0796165,2.0796165,4.3879848,4.3879848,0.96610475,0.96610475,0.8847572,0.8847572
all_targets,4,1,NeuralForecast_Nhits,2.6385982,2.6385982,5.5212965,5.5212965,0.9890938,0.9890938,1.4054078,1.4054078
all_targets,4,1,NeuralForecast_XLinear,2.0287085,2.0287085,4.4338207,4.4338207,0.81258065,0.81258065,0.8397202,0.8397202
all_targets,4,1,NeuralForecast_TFT,2.3516898,2.3516898,5.061956,5.061956,0.91830885,0.91830885,1.074812,1.074812
all_targets,4,2,NaiveLastValue,2.8287034,3.0667527,6.0641184,6.5839553,1.1122011,1.2022029,1.3097991,1.4141098
