sequence_index,return,first_chamber_filling,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000097,143.7218,97.83665,77.37269,0,10
1970-01-01 00:00:00.000000098,144.12494,97.79034,77.35532,0,11
1970-01-01 00:00:00.000000099,143.20596,97.55978,76.955055,0,12
1970-01-01 00:00:00.000000100,143.39543,97.449814,76.509445,0,13
1970-01-01 00:00:00.000000101,131.78377,97.594505,76.57117,0,14
1970-01-01 00:00:00.000000102,141.90204,94.12616,77.53962,0,15
1970-01-01 00:00:00.000000081,227.3027,95.59997,74.62673,1,10
1970-01-01 00:00:00.000000082,228.70213,95.59611,74.64024,1,11
1970-01-01 00:00:00.000000083,229.3634,95.59547,74.53274,1,12
1970-01-01 00:00:00.000000079,181.485,96.9329,68.04398,4,10
1970-01-01 00:00:00.000000080,184.75037,97.01294,67.9157,4,11
1970-01-01 00:00:00.000000081,186.91623,97.09366,68.595665,4,12
1970-01-01 00:00:00.000000079,118.49226,96.59047,74.71355,5,10
1970-01-01 00:00:00.000000080,117.07589,96.55381,74.8042,5,11
1970-01-01 00:00:00.000000081,117.7986,96.46308,74.792336,5,12
1970-01-01 00:00:00.000000119,223.89284,93.68633,79.0162,11,10
1970-01-01 00:00:00.000000120,224.40773,93.62843,79.402,11,11
1970-01-01 00:00:00.000000121,226.77283,93.56673,78.33622,11,12
1970-01-01 00:00:00.000000122,226.8926,93.69887,78.043976,11,13
1970-01-01 00:00:00.000000123,229.9223,94.103,78.1848,11,14
1970-01-01 00:00:00.000000124,233.0402,94.2525,78.11631,11,15
1970-01-01 00:00:00.000000125,234.13246,94.540886,78.11825,11,16
1970-01-01 00:00:00.000000126,236.25017,94.57752,77.86072,11,17
1970-01-01 00:00:00.000000127,238.69046,94.59296,77.226074,11,18
1970-01-01 00:00:00.000000128,234.63083,94.72415,77.430534,11,19
1970-01-01 00:00:00.000000113,194.18727,97.064064,68.50984,12,10
1970-01-01 00:00:00.000000114,192.6188,96.940605,68.23785,12,11
1970-01-01 00:00:00.000000115,187.49933,96.509445,69.35378,12,12
1970-01-01 00:00:00.000000116,184.73216,96.39273,69.63252,12,13
1970-01-01 00:00:00.000000117,181.96477,96.39273,69.48689,12,14
1970-01-01 00:00:00.000000118,178.59973,96.24712,69.6007,12,15
