RunTag,InputChunkLength,OutputChunkLength,Model,MAE,RMSE,MAE_return,RMSE_return
simple_return,2,1,NaiveLastValue,4.791285,4.791285,4.791285,4.791285
simple_return,2,1,LinearRegression,4.4565387,4.4565387,4.4565387,4.4565387
simple_return,2,1,Chronos2,6.345125,6.345125,6.345125,6.345125
simple_return,2,1,NeuralForecast_BiTCN,5.553346,5.553346,5.553346,5.553346
simple_return,2,1,NeuralForecast_TSMixer,4.6523147,4.6523147,4.6523147,4.6523147
simple_return,2,1,NeuralForecast_Nhits,4.6574125,4.6574125,4.6574125,4.6574125
simple_return,2,1,NeuralForecast_XLinear,4.5706143,4.5706143,4.5706143,4.5706143
simple_return,2,1,NeuralForecast_TFT,4.925394,4.925394,4.925394,4.925394
simple_return,2,2,NaiveLastValue,6.0641184,6.5839553,6.0641184,6.5839553
simple_return,2,2,LinearRegression,5.6164517,6.1071177,5.6164517,6.1071177
simple_return,2,2,Chronos2,7.7943125,8.398982,7.7943125,8.398982
simple_return,2,2,NeuralForecast_BiTCN,6.623888,7.112041,6.623888,7.112041
simple_return,2,2,NeuralForecast_TSMixer,5.9791126,6.5132866,5.9791126,6.5132866
simple_return,2,2,NeuralForecast_Nhits,5.7796006,6.2746005,5.7796006,6.2746005
simple_return,2,2,NeuralForecast_XLinear,5.830478,6.3521724,5.830478,6.3521724
simple_return,2,2,NeuralForecast_TFT,6.170724,6.6907196,6.170724,6.6907196
simple_return,2,3,NaiveLastValue,7.369443,8.242696,7.369443,8.242696
simple_return,2,3,LinearRegression,6.7329245,7.5455427,6.7329245,7.5455427
simple_return,2,3,Chronos2,9.482888,10.486488,9.482888,10.486488
simple_return,2,3,NeuralForecast_BiTCN,7.9517994,8.785254,7.9517994,8.785254
simple_return,2,3,NeuralForecast_TSMixer,7.222084,8.094949,7.222084,8.094949
simple_return,2,3,NeuralForecast_Nhits,7.1731567,8.013404,7.1731567,8.013404
simple_return,2,3,NeuralForecast_XLinear,7.1313205,8.005213,7.1313205,8.005213
simple_return,2,3,NeuralForecast_TFT,7.969347,8.799588,7.969347,8.799588
simple_return,4,1,NaiveLastValue,4.791285,4.791285,4.791285,4.791285
simple_return,4,1,LinearRegression,4.5402503,4.5402503,4.5402503,4.5402503
simple_return,4,1,Chronos2,5.265385,5.265385,5.265385,5.265385
simple_return,4,1,NeuralForecast_BiTCN,5.5351367,5.5351367,5.5351367,5.5351367
simple_return,4,1,NeuralForecast_TSMixer,4.7503343,4.7503343,4.7503343,4.7503343
simple_return,4,1,NeuralForecast_Nhits,4.3995748,4.3995748,4.3995748,4.3995748
simple_return,4,1,NeuralForecast_XLinear,4.5853934,4.5853934,4.5853934,4.5853934
simple_return,4,1,NeuralForecast_TFT,5.05653,5.05653,5.05653,5.05653
simple_return,4,2,NaiveLastValue,6.0641184,6.5839553,6.0641184,6.5839553
simple_return,4,2,LinearRegression,5.6754155,6.16868,5.6754155,6.16868
simple_return,4,2,Chronos2,6.7445564,7.2827716,6.7445564,7.2827716
simple_return,4,2,NeuralForecast_BiTCN,7.2792563,7.7615485,7.2792563,7.7615485
simple_return,4,2,NeuralForecast_TSMixer,6.128004,6.676223,6.128004,6.676223
simple_return,4,2,NeuralForecast_Nhits,5.6044006,6.0951595,5.6044006,6.0951595
simple_return,4,2,NeuralForecast_XLinear,5.8292003,6.352446,5.8292003,6.352446
simple_return,4,2,NeuralForecast_TFT,6.3150682,6.838647,6.3150682,6.838647
simple_return,4,3,NaiveLastValue,7.369443,8.242696,7.369443,8.242696
simple_return,4,3,LinearRegression,6.737053,7.5422225,6.737053,7.5422225
simple_return,4,3,Chronos2,8.246924,9.189875,8.246924,9.189875
simple_return,4,3,NeuralForecast_BiTCN,8.282502,9.106217,8.282502,9.106217
simple_return,4,3,NeuralForecast_TSMixer,7.6222444,8.501167,7.6222444,8.501167
simple_return,4,3,NeuralForecast_Nhits,6.8195148,7.6186485,6.8195148,7.6186485
simple_return,4,3,NeuralForecast_XLinear,7.1697645,8.064013,7.1697645,8.064013
simple_return,4,3,NeuralForecast_TFT,7.8617253,8.715916,7.8617253,8.715916
