sequence_index,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000097,77.37269,0,10
1970-01-01 00:00:00.000000098,77.35532,0,11
1970-01-01 00:00:00.000000099,76.955055,0,12
1970-01-01 00:00:00.000000100,76.509445,0,13
1970-01-01 00:00:00.000000101,76.57117,0,14
1970-01-01 00:00:00.000000102,77.53962,0,15
1970-01-01 00:00:00.000000081,74.62673,1,10
1970-01-01 00:00:00.000000082,74.64024,1,11
1970-01-01 00:00:00.000000083,74.53274,1,12
1970-01-01 00:00:00.000000079,68.04398,4,10
1970-01-01 00:00:00.000000080,67.9157,4,11
1970-01-01 00:00:00.000000081,68.595665,4,12
1970-01-01 00:00:00.000000079,74.71355,5,10
1970-01-01 00:00:00.000000080,74.8042,5,11
1970-01-01 00:00:00.000000081,74.792336,5,12
1970-01-01 00:00:00.000000119,79.0162,11,10
1970-01-01 00:00:00.000000120,79.402,11,11
1970-01-01 00:00:00.000000121,78.33622,11,12
1970-01-01 00:00:00.000000122,78.043976,11,13
1970-01-01 00:00:00.000000123,78.1848,11,14
1970-01-01 00:00:00.000000124,78.11631,11,15
1970-01-01 00:00:00.000000125,78.11825,11,16
1970-01-01 00:00:00.000000126,77.86072,11,17
1970-01-01 00:00:00.000000127,77.226074,11,18
1970-01-01 00:00:00.000000128,77.430534,11,19
1970-01-01 00:00:00.000000113,68.50984,12,10
1970-01-01 00:00:00.000000114,68.23785,12,11
1970-01-01 00:00:00.000000115,69.35378,12,12
1970-01-01 00:00:00.000000116,69.63252,12,13
1970-01-01 00:00:00.000000117,69.48689,12,14
1970-01-01 00:00:00.000000118,69.6007,12,15
1970-01-01 00:00:00.000000119,69.23997,12,16
1970-01-01 00:00:00.000000120,67.449844,12,17
1970-01-01 00:00:00.000000121,67.17625,12,18
1970-01-01 00:00:00.000000157,81.57892,13,10
1970-01-01 00:00:00.000000158,81.48053,13,11
1970-01-01 00:00:00.000000159,81.3532,13,12
1970-01-01 00:00:00.000000160,81.53455,13,13
1970-01-01 00:00:00.000000161,81.60206,13,14
1970-01-01 00:00:00.000000162,81.81423,13,15
1970-01-01 00:00:00.000000163,82.07658,13,16
1970-01-01 00:00:00.000000164,82.05246,13,17
1970-01-01 00:00:00.000000165,82.11611,13,18
1970-01-01 00:00:00.000000166,82.23765,13,19
1970-01-01 00:00:00.000000167,82.50964,13,20
1970-01-01 00:00:00.000000168,82.49613,13,21
1970-01-01 00:00:00.000000169,82.70447,13,22
1970-01-01 00:00:00.000000170,82.725685,13,23
1970-01-01 00:00:00.000000171,82.635,13,24
1970-01-01 00:00:00.000000172,82.90653,13,25
1970-01-01 00:00:00.000000141,69.28338,15,10
1970-01-01 00:00:00.000000142,69.25347,15,11
1970-01-01 00:00:00.000000143,70.798615,15,12
1970-01-01 00:00:00.000000144,71.49884,15,13
1970-01-01 00:00:00.000000145,71.506546,15,14
1970-01-01 00:00:00.000000146,71.61362,15,15
1970-01-01 00:00:00.000000147,71.821945,15,16
1970-01-01 00:00:00.000000148,71.55381,15,17
1970-01-01 00:00:00.000000149,71.55381,15,18
1970-01-01 00:00:00.000000150,71.64159,15,19
1970-01-01 00:00:00.000000151,71.84702,15,20
1970-01-01 00:00:00.000000152,72.36689,15,21
1970-01-01 00:00:00.000000153,77.86871,15,22
1970-01-01 00:00:00.000000156,80.32215,16,10
1970-01-01 00:00:00.000000157,79.45891,16,11
1970-01-01 00:00:00.000000158,79.53219,16,12
1970-01-01 00:00:00.000000159,79.84279,16,13
1970-01-01 00:00:00.000000160,79.96046,16,14
1970-01-01 00:00:00.000000161,80.28068,16,15
1970-01-01 00:00:00.000000162,80.05497,16,16
1970-01-01 00:00:00.000000163,79.535095,16,17
1970-01-01 00:00:00.000000164,79.550514,16,18
1970-01-01 00:00:00.000000165,79.24286,16,19
1970-01-01 00:00:00.000000166,79.082756,16,20
1970-01-01 00:00:00.000000167,78.53009,16,21
1970-01-01 00:00:00.000000168,77.985146,16,22
1970-01-01 00:00:00.000000169,77.576195,16,23
