sequence_index,first_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000097,97.83665,0,10
1970-01-01 00:00:00.000000098,97.79034,0,11
1970-01-01 00:00:00.000000099,97.55978,0,12
1970-01-01 00:00:00.000000100,97.449814,0,13
1970-01-01 00:00:00.000000101,97.594505,0,14
1970-01-01 00:00:00.000000102,94.12616,0,15
1970-01-01 00:00:00.000000081,95.59997,1,10
1970-01-01 00:00:00.000000082,95.59611,1,11
1970-01-01 00:00:00.000000083,95.59547,1,12
1970-01-01 00:00:00.000000079,96.9329,4,10
1970-01-01 00:00:00.000000080,97.01294,4,11
1970-01-01 00:00:00.000000081,97.09366,4,12
1970-01-01 00:00:00.000000079,96.59047,5,10
1970-01-01 00:00:00.000000080,96.55381,5,11
1970-01-01 00:00:00.000000081,96.46308,5,12
1970-01-01 00:00:00.000000119,93.68633,11,10
1970-01-01 00:00:00.000000120,93.62843,11,11
1970-01-01 00:00:00.000000121,93.56673,11,12
1970-01-01 00:00:00.000000122,93.69887,11,13
1970-01-01 00:00:00.000000123,94.103,11,14
1970-01-01 00:00:00.000000124,94.2525,11,15
1970-01-01 00:00:00.000000125,94.540886,11,16
1970-01-01 00:00:00.000000126,94.57752,11,17
1970-01-01 00:00:00.000000127,94.59296,11,18
1970-01-01 00:00:00.000000128,94.72415,11,19
1970-01-01 00:00:00.000000113,97.064064,12,10
1970-01-01 00:00:00.000000114,96.940605,12,11
1970-01-01 00:00:00.000000115,96.509445,12,12
1970-01-01 00:00:00.000000116,96.39273,12,13
1970-01-01 00:00:00.000000117,96.39273,12,14
1970-01-01 00:00:00.000000118,96.24712,12,15
1970-01-01 00:00:00.000000119,96.004074,12,16
1970-01-01 00:00:00.000000120,96.07932,12,17
1970-01-01 00:00:00.000000121,96.10504,12,18
1970-01-01 00:00:00.000000157,100.0,13,10
1970-01-01 00:00:00.000000158,99.99904,13,11
1970-01-01 00:00:00.000000159,100.0,13,12
1970-01-01 00:00:00.000000160,99.9614,13,13
1970-01-01 00:00:00.000000161,99.87941,13,14
1970-01-01 00:00:00.000000162,99.84952,13,15
1970-01-01 00:00:00.000000163,99.84952,13,16
1970-01-01 00:00:00.000000164,99.84856,13,17
1970-01-01 00:00:00.000000165,99.847595,13,18
1970-01-01 00:00:00.000000166,99.84663,13,19
1970-01-01 00:00:00.000000167,99.85626,13,20
1970-01-01 00:00:00.000000168,99.85434,13,21
1970-01-01 00:00:00.000000169,99.85915,13,22
1970-01-01 00:00:00.000000170,99.85819,13,23
1970-01-01 00:00:00.000000171,99.860115,13,24
1970-01-01 00:00:00.000000172,99.8584,13,25
1970-01-01 00:00:00.000000141,99.65183,15,10
1970-01-01 00:00:00.000000142,99.77619,15,11
1970-01-01 00:00:00.000000143,99.96816,15,12
1970-01-01 00:00:00.000000144,100.0,15,13
1970-01-01 00:00:00.000000145,100.0,15,14
1970-01-01 00:00:00.000000146,100.0,15,15
1970-01-01 00:00:00.000000147,100.0,15,16
1970-01-01 00:00:00.000000148,100.0,15,17
1970-01-01 00:00:00.000000149,100.0,15,18
1970-01-01 00:00:00.000000150,100.0,15,19
1970-01-01 00:00:00.000000151,100.0,15,20
1970-01-01 00:00:00.000000152,100.0,15,21
1970-01-01 00:00:00.000000153,100.0,15,22
1970-01-01 00:00:00.000000156,95.65874,16,10
1970-01-01 00:00:00.000000157,95.843956,16,11
1970-01-01 00:00:00.000000158,95.96838,16,12
1970-01-01 00:00:00.000000159,95.88254,16,13
1970-01-01 00:00:00.000000160,95.70214,16,14
1970-01-01 00:00:00.000000161,95.639465,16,15
1970-01-01 00:00:00.000000162,95.4929,16,16
1970-01-01 00:00:00.000000163,95.04723,16,17
1970-01-01 00:00:00.000000164,95.18806,16,18
1970-01-01 00:00:00.000000165,95.56621,16,19
1970-01-01 00:00:00.000000166,95.60383,16,20
1970-01-01 00:00:00.000000167,95.81019,16,21
