sequence_index,gran1_blain,block_idx,fcst_origin
1970-01-01 00:00:00.000000009,3764.6672,82,8
1970-01-01 00:00:00.000000010,3754.878,82,8
1970-01-01 00:00:00.000000011,3743.6448,82,8
1970-01-01 00:00:00.000000012,3748.0806,82,8
1970-01-01 00:00:00.000000013,3750.028,82,8
1970-01-01 00:00:00.000000014,3761.0747,82,8
1970-01-01 00:00:00.000000010,3754.878,82,9
1970-01-01 00:00:00.000000011,3743.6448,82,9
1970-01-01 00:00:00.000000012,3748.0806,82,9
1970-01-01 00:00:00.000000013,3750.028,82,9
1970-01-01 00:00:00.000000014,3761.0747,82,9
1970-01-01 00:00:00.000000015,3798.8552,82,9
1970-01-01 00:00:00.000000011,3743.6448,82,10
1970-01-01 00:00:00.000000012,3748.0806,82,10
1970-01-01 00:00:00.000000013,3750.028,82,10
1970-01-01 00:00:00.000000014,3761.0747,82,10
1970-01-01 00:00:00.000000015,3798.8552,82,10
1970-01-01 00:00:00.000000016,3832.71,82,10
1970-01-01 00:00:00.000000012,3748.0806,82,11
1970-01-01 00:00:00.000000013,3750.028,82,11
1970-01-01 00:00:00.000000014,3761.0747,82,11
1970-01-01 00:00:00.000000015,3798.8552,82,11
1970-01-01 00:00:00.000000016,3832.71,82,11
1970-01-01 00:00:00.000000017,3868.8813,82,11
1970-01-01 00:00:00.000000013,3750.028,82,12
1970-01-01 00:00:00.000000014,3761.0747,82,12
1970-01-01 00:00:00.000000015,3798.8552,82,12
1970-01-01 00:00:00.000000016,3832.71,82,12
1970-01-01 00:00:00.000000017,3868.8813,82,12
1970-01-01 00:00:00.000000018,3903.8147,82,12
1970-01-01 00:00:00.000000014,3761.0747,82,13
1970-01-01 00:00:00.000000015,3798.8552,82,13
1970-01-01 00:00:00.000000016,3832.71,82,13
1970-01-01 00:00:00.000000017,3868.8813,82,13
1970-01-01 00:00:00.000000018,3903.8147,82,13
1970-01-01 00:00:00.000000019,3916.4526,82,13
1970-01-01 00:00:00.000000015,3798.8552,82,14
1970-01-01 00:00:00.000000016,3832.71,82,14
1970-01-01 00:00:00.000000017,3868.8813,82,14
1970-01-01 00:00:00.000000018,3903.8147,82,14
1970-01-01 00:00:00.000000019,3916.4526,82,14
1970-01-01 00:00:00.000000020,3923.4907,82,14
1970-01-01 00:00:00.000000016,3832.71,82,15
1970-01-01 00:00:00.000000017,3868.8813,82,15
1970-01-01 00:00:00.000000018,3903.8147,82,15
1970-01-01 00:00:00.000000019,3916.4526,82,15
1970-01-01 00:00:00.000000020,3923.4907,82,15
1970-01-01 00:00:00.000000021,3924.6853,82,15
1970-01-01 00:00:00.000000017,3868.8813,82,16
1970-01-01 00:00:00.000000018,3903.8147,82,16
1970-01-01 00:00:00.000000019,3916.4526,82,16
1970-01-01 00:00:00.000000020,3923.4907,82,16
1970-01-01 00:00:00.000000021,3924.6853,82,16
1970-01-01 00:00:00.000000022,3910.642,82,16
1970-01-01 00:00:00.000000018,3903.8147,82,17
