sequence_index,second_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000004,55.54494,188,3
1970-01-01 00:00:00.000000005,56.0571,188,3
1970-01-01 00:00:00.000000006,56.260605,188,3
1970-01-01 00:00:00.000000007,56.77758,188,3
1970-01-01 00:00:00.000000008,57.656254,188,3
1970-01-01 00:00:00.000000009,58.93519,188,3
1970-01-01 00:00:00.000000005,56.0571,188,4
1970-01-01 00:00:00.000000006,56.260605,188,4
1970-01-01 00:00:00.000000007,56.77758,188,4
1970-01-01 00:00:00.000000008,57.656254,188,4
1970-01-01 00:00:00.000000009,58.93519,188,4
1970-01-01 00:00:00.000000010,58.80015,188,4
1970-01-01 00:00:00.000000006,56.260605,188,5
1970-01-01 00:00:00.000000007,56.77758,188,5
1970-01-01 00:00:00.000000008,57.656254,188,5
1970-01-01 00:00:00.000000009,58.93519,188,5
1970-01-01 00:00:00.000000010,58.80015,188,5
1970-01-01 00:00:00.000000011,58.88503,188,5
1970-01-01 00:00:00.000000007,56.77758,188,6
1970-01-01 00:00:00.000000008,57.656254,188,6
1970-01-01 00:00:00.000000009,58.93519,188,6
1970-01-01 00:00:00.000000010,58.80015,188,6
1970-01-01 00:00:00.000000011,58.88503,188,6
1970-01-01 00:00:00.000000012,60.51215,188,6
1970-01-01 00:00:00.000000008,57.656254,188,7
1970-01-01 00:00:00.000000009,58.93519,188,7
1970-01-01 00:00:00.000000010,58.80015,188,7
1970-01-01 00:00:00.000000011,58.88503,188,7
1970-01-01 00:00:00.000000012,60.51215,188,7
1970-01-01 00:00:00.000000013,61.01948,188,7
1970-01-01 00:00:00.000000009,58.93519,188,8
1970-01-01 00:00:00.000000010,58.80015,188,8
1970-01-01 00:00:00.000000011,58.88503,188,8
1970-01-01 00:00:00.000000012,60.51215,188,8
1970-01-01 00:00:00.000000013,61.01948,188,8
1970-01-01 00:00:00.000000014,59.30267,188,8
1970-01-01 00:00:00.000000010,58.80015,188,9
1970-01-01 00:00:00.000000011,58.88503,188,9
1970-01-01 00:00:00.000000012,60.51215,188,9
1970-01-01 00:00:00.000000013,61.01948,188,9
1970-01-01 00:00:00.000000014,59.30267,188,9
1970-01-01 00:00:00.000000015,58.75966,188,9
1970-01-01 00:00:00.000000011,58.88503,188,10
1970-01-01 00:00:00.000000012,60.51215,188,10
1970-01-01 00:00:00.000000013,61.01948,188,10
1970-01-01 00:00:00.000000014,59.30267,188,10
1970-01-01 00:00:00.000000015,58.75966,188,10
1970-01-01 00:00:00.000000016,58.569633,188,10
1970-01-01 00:00:00.000000012,60.51215,188,11
1970-01-01 00:00:00.000000013,61.01948,188,11
1970-01-01 00:00:00.000000014,59.30267,188,11
1970-01-01 00:00:00.000000015,58.75966,188,11
1970-01-01 00:00:00.000000016,58.569633,188,11
1970-01-01 00:00:00.000000017,58.60919,188,11
1970-01-01 00:00:00.000000013,61.01948,188,12
1970-01-01 00:00:00.000000014,59.30267,188,12
1970-01-01 00:00:00.000000015,58.75966,188,12
1970-01-01 00:00:00.000000016,58.569633,188,12
1970-01-01 00:00:00.000000017,58.60919,188,12
1970-01-01 00:00:00.000000018,59.441547,188,12
1970-01-01 00:00:00.000000014,59.30267,188,13
1970-01-01 00:00:00.000000015,58.75966,188,13
1970-01-01 00:00:00.000000016,58.569633,188,13
1970-01-01 00:00:00.000000017,58.60919,188,13
1970-01-01 00:00:00.000000018,59.441547,188,13
1970-01-01 00:00:00.000000019,60.07907,188,13
1970-01-01 00:00:00.000000015,58.75966,188,14
1970-01-01 00:00:00.000000016,58.569633,188,14
1970-01-01 00:00:00.000000017,58.60919,188,14
1970-01-01 00:00:00.000000018,59.441547,188,14
1970-01-01 00:00:00.000000019,60.07907,188,14
1970-01-01 00:00:00.000000020,61.092793,188,14
1970-01-01 00:00:00.000000016,58.569633,188,15
